                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.5662,                 1.4937,                 1.7082,                0.48598,                0.52273,                 0.5403,                0.31057,                 1.8587,                 1.5134,                 1.6085,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.6384,                 1.6852,                 1.8243,                0.59383,                0.48066,                0.54986,                 0.3053,                 1.9155,                  1.521,                 1.6422,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.6493,                 1.8717,                 1.5734,                0.57007,                0.49291,                0.54296,                0.28713,                 2.0265,                 1.6254,                  1.744,               0.000109,               0.000109,               0.000109
                     92,                 1.6317,                 1.7831,                 1.6611,                0.47242,                0.46948,                0.49393,                0.24883,                 1.9158,                 1.9395,                 1.9982,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                  1.851,                 1.9234,                 1.7935,                0.49281,                0.41287,                0.48198,                0.24874,                 1.8522,                  1.958,                 2.0677,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.5423,                 1.6824,                  1.554,                0.54483,                 0.4624,                0.51347,                 0.2591,                 1.9024,                 1.8951,                 2.1908,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.6145,                 1.7429,                 1.6278,                0.54704,                0.46747,                0.53584,                0.29745,                 1.7937,                  1.768,                 2.1595,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.5638,                 1.6644,                 1.6757,                0.50339,                 0.5437,                0.53827,                0.33171,                 1.6036,                 1.6472,                 2.0375,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.5289,                 1.6157,                 1.6459,                0.44395,                0.49605,                0.42602,                0.26385,                 1.5475,                  1.942,                 1.9824,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.4253,                 1.6116,                 1.6731,                0.43725,                0.49373,                0.42929,                0.27052,                 1.5109,                 1.8378,                 1.9515,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.5353,                 1.7108,                 1.6536,                0.45459,                0.50478,                0.49137,                0.31444,                 1.4855,                 1.6398,                 1.9251,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.5267,                 1.5987,                 1.6069,                0.48443,                0.52586,                0.52769,                0.35097,                 1.4598,                 1.5086,                 1.9078,               1.99e-05,               1.99e-05,               1.99e-05
